사업자등록번호,조사년도,매출액,영업이익,당기순이익
1148600150,2020.0,39376204.0,3636765.0,2684637.0
1398100152,2019.0,3061966.0,-121782.0,127156.0
1398100152,2018.0,2952034.0,-128348.0,47333.0
1398100152,2017.0,2977773.0,-142295.0,20790.0
2368700153,2020.0,164689.0,7350.0,3148.0
2368700153,2019.0,182804.0,10363.0,5601.0
2368700153,2018.0,248097.0,25125.0,20232.0
7068100154,2019.0,353843.0,125880.0,125510.0
2018100155,2016.0,2431628.0,271144.0,557210.0
2018100155,2017.0,4038801.0,1189873.0,1422909.0
6168100157,2020.0,475042.0,30169.0,58429.0
6168100157,2019.0,487120.0,16246.0,40120.0
6168100157,2018.0,837196.0,32095.0,48471.0
6168100157,2017.0,1395348.0,129563.0,146128.0
1358600158,2020.0,2767590.0,133532.0,156305.0
1358600158,2019.0,1487594.0,43470.0,34248.0
1208700159,2016.0,3856746.0,15399.0,-92212.0
1208700159,2017.0,3122254.0,236000.0,28437.0
1208700159,2018.0,3126751.0,230805.0,18529.0
1208700159,2019.0,3343553.0,59457.0,20041.0
1208700159,2020.0,4582044.0,23716.0,161185.0
2118800161,2020.0,4247453.0,-1259460.0,-1254737.0
2118800161,2019.0,14393506.0,527488.0,477097.0
2118800161,2018.0,11069720.0,105027.0,50230.0
2118800161,2017.0,9718689.0,110189.0,66700.0
2148600166,2016.0,14398201.0,560022.0,401876.0
2148600166,2017.0,13305527.0,216736.0,440501.0
2148600166,2018.0,15053721.0,474456.0,409684.0
2148600166,2019.0,18216708.0,1175324.0,3638073.0
2148600166,2020.0,18915589.0,649521.0,-925322.0
1138100167,2016.0,1078000.0,-176000.0,-260000.0
1138100167,2017.0,6194287.0,128539.0,62016.0
1138100167,2018.0,6662230.0,141574.0,277966.0
1138100167,2019.0,5784044.0,273172.0,336880.0
1138100167,2020.0,3531714.0,76732.0,170060.0
1348700170,2016.0,6895323.0,-567112.0,-938254.0
1348700170,2017.0,10053707.0,-256989.0,-751635.0
1348700170,2018.0,15893977.0,807856.0,274699.0
1348700170,2019.0,20338649.0,940376.0,592564.0
1348700170,2020.0,14988797.0,1472350.0,-394275.0
2118800171,2020.0,21147452.0,1481954.0,1277136.0
2118800171,2020.0,21147452.0,1481954.0,1277136.0
2118800171,2019.0,18329953.0,613123.0,356661.0
2118800171,2019.0,18329953.0,613123.0,356661.0
2118800171,2018.0,14731980.0,530053.0,319866.0
2118800171,2018.0,14731980.0,530053.0,319866.0
2118800171,2017.0,17651852.0,1127626.0,748012.0
1058700173,2017.0,2888000.0,-252000.0,-314000.0
2208100175,2020.0,3245570.0,310450.0,388475.0
2208100175,2019.0,2460924.0,19874.0,50025.0
2208100175,2018.0,2822306.0,622707.0,636401.0
2208100175,2017.0,2074674.0,169113.0,180384.0
3038100176,2020.0,533343.0,28947.0,43195.0
3038100176,2019.0,1003468.0,170347.0,163791.0
2038100178,2020.0,172713331.0,16737571.0,13710860.0
2038100178,2020.0,172713331.0,16737571.0,13710860.0
2038100178,2019.0,153348982.0,16503204.0,11926033.0
2038100178,2019.0,153348982.0,16503204.0,11926033.0
2038100178,2018.0,120506691.0,8757631.0,7929915.0
2038100178,2018.0,120506691.0,8757631.0,7929915.0
2038100178,2017.0,108330669.0,10675437.0,8561915.0
2038100178,2017.0,108330669.0,10675437.0,8561915.0
6208100181,2019.0,996366.0,118095.0,138542.0
6208100181,2018.0,703922.0,14408.0,28778.0
6208100181,2017.0,574986.0,-27784.0,-80598.0
5048100185,2020.0,25202427.0,1419152.0,1282026.0
5048100185,2020.0,25202427.0,1419152.0,1282026.0
5048100185,2019.0,19727424.0,942873.0,907250.0
5048100185,2019.0,19727424.0,942873.0,907250.0
5048100185,2018.0,17157084.0,1164448.0,664595.0
5048100185,2017.0,15259127.0,857979.0,680820.0
1245100186,2018.0,724952.0,50053.0,48996.0
1245100186,2017.0,936378.0,48493.0,46560.0
1118100187,2020.0,682796.0,353265.0,3459231.0
1118100187,2020.0,682796.0,353265.0,3459231.0
1118100187,2019.0,3223421.0,-517897.0,-38708483.0
1118100187,2019.0,3223421.0,-517897.0,-38708483.0
1118100187,2018.0,5062530.0,-691377.0,-1846358.0
1118100187,2018.0,5062530.0,-691377.0,-1846358.0
1118100187,2017.0,10962707.0,-232947.0,4529164.0
1118100187,2017.0,10962707.0,-232947.0,4529164.0
1138100190,2016.0,7116456.0,410409.0,162710.0
1138100190,2017.0,7612382.0,433019.0,305109.0
1138100190,2018.0,10153137.0,613702.0,445440.0
1308600191,2020.0,652366.0,-1493841.0,47731.0
1308600191,2019.0,3029124.0,193800.0,101453.0
1308600191,2018.0,2732864.0,156831.0,70057.0
1308600191,2017.0,5124963.0,212768.0,137753.0
1308600191,2017.0,5124963.0,212768.0,137753.0
1058600192,2016.0,1594190.0,-577595.0,372060.0
1058600192,2017.0,2233641.0,-208910.0,468394.0
1058600192,2018.0,1414712.0,-559831.0,68063.0
1058600192,2019.0,460486.0,-748169.0,-398277.0
1058600192,2020.0,424932.0,-654453.0,-155488.0
8428700193,2020.0,131040.0,3513.0,2206.0
8428700193,2019.0,328199.0,50835.0,49157.0
8428700193,2018.0,134457.0,-38873.0,-38968.0
8428700193,2017.0,402739.0,20082.0,18637.0
1088100196,2020.0,110033129.0,-777386.0,365102.0
1088100196,2020.0,110033129.0,-777386.0,365102.0
1088100196,2019.0,122777293.0,3050.0,-1858920.0
1088100196,2019.0,122777293.0,3050.0,-1858920.0
1088100196,2018.0,93394544.0,-454745.0,301383.0
1088100196,2018.0,93394544.0,-454745.0,301383.0
1088100196,2017.0,110134957.0,-3663097.0,549695.0
1088100196,2017.0,110134957.0,-3663097.0,549695.0
1058600197,2020.0,7700181.0,394465.0,258968.0
1058600197,2019.0,6131678.0,957181.0,753348.0
1058600197,2018.0,5328873.0,700591.0,598440.0
1058600197,2017.0,3679776.0,109768.0,9673.0
1018100198,2016.0,50564901.0,2159756.0,1080621.0
1018100198,2017.0,54172708.0,5466339.0,3404286.0
1018100198,2018.0,67875815.0,7693128.0,3152599.0
1018100198,2019.0,76432271.0,9615431.0,3675881.0
1018100198,2020.0,87283987.0,13180130.0,10638359.0
3148600200,2020.0,887042.0,36216.0,31390.0
3148600200,2019.0,869798.0,19989.0,20244.0
3148600200,2018.0,1071425.0,61066.0,67108.0
3148600200,2017.0,995558.0,82574.0,82264.0
1248100205,2020.0,9562682.0,240177.0,324575.0
1248100205,2019.0,9668037.0,100667.0,154007.0
2868800206,2020.0,1202738.0,-571671.0,-272002.0
2868800206,2019.0,461101.0,-253444.0,-154277.0
2868800206,2018.0,210049.0,-108326.0,-55719.0
2868800206,2017.0,129847.0,-67566.0,-66972.0
2218100207,2020.0,2217214.0,192797.0,211233.0
2218100207,2018.0,1425377.0,37650.0,59979.0
6638800208,2020.0,1179390.0,7130.0,23553.0
6638800208,2019.0,1598231.0,12569.0,31395.0
6638800208,2018.0,311030.0,-20301.0,4003.0
6638800208,2017.0,846633.0,8832.0,25849.0
1228600209,2020.0,560183.0,32348.0,18302.0
1228600209,2019.0,951024.0,52925.0,35148.0
1228600209,2018.0,761217.0,34668.0,28814.0
1228600209,2017.0,533161.0,34746.0,28617.0
4118800210,2020.0,348383061.0,25809849.0,18648614.0
4118800210,2020.0,348383061.0,25809849.0,18648614.0
4118800210,2019.0,706788226.0,44906626.0,35017997.0
4118800210,2019.0,706788226.0,44906626.0,35017997.0
4118800210,2018.0,586887037.0,38452342.0,30173072.0
4118800210,2018.0,586887037.0,38452342.0,30173072.0
4118800210,2017.0,168756702.0,14318579.0,11558134.0
4118800210,2017.0,168756702.0,14318579.0,11558134.0
1018100211,2020.0,66184495.0,3867369.0,3736302.0
1018100211,2020.0,66184495.0,3867369.0,3736302.0
1018100211,2019.0,57523209.0,2860528.0,2857464.0
1018100211,2019.0,57523209.0,2860528.0,2857464.0
1018100211,2018.0,45583261.0,2723706.0,3114331.0
1018100211,2018.0,45583261.0,2723706.0,3114331.0
1018100211,2017.0,27378102.0,-3674711.0,-4120589.0
1018100211,2017.0,27378102.0,-3674711.0,-4120589.0
2118700212,2016.0,12010362.0,517844.0,344083.0
2118700212,2017.0,18906362.0,275615.0,135921.0
2118700212,2018.0,21075779.0,1258113.0,845190.0
2118700212,2019.0,26561124.0,1186532.0,582493.0
2118700212,2020.0,27260663.0,1926938.0,1239736.0
1098100213,2016.0,80391359.0,5891802.0,4922758.0
1098100213,2017.0,109216905.0,9896037.0,6303513.0
1098100213,2018.0,102181616.0,9270812.0,7516849.0
1098100213,2019.0,100244063.0,10385815.0,8350380.0
1098100213,2020.0,181894418.0,9764524.0,7766656.0
6218600217,2020.0,96497.0,-103556.0,-94479.0
6218600217,2019.0,577577.0,22751.0,20725.0
6218600217,2018.0,217999.0,-9431.0,-2284.0
6218600217,2017.0,532282.0,32390.0,35979.0
6228100218,2020.0,259992.0,-31921.0,24693.0
6228100218,2019.0,444083.0,27714.0,45432.0
6228100218,2018.0,97326.0,1255.0,941.0
1248700220,2020.0,3065793.0,91210.0,100538.0
1248700220,2019.0,2627407.0,265505.0,271141.0
1058100224,2020.0,26818041.0,3203623.0,3140038.0
1058100224,2020.0,26818041.0,3203623.0,3140038.0
1058100224,2019.0,21613596.0,1772356.0,1834274.0
1058100224,2019.0,21613596.0,1772356.0,1834274.0
1058100224,2018.0,19186228.0,2129863.0,2005969.0
1058100224,2018.0,19186228.0,2129863.0,2005969.0
1058100224,2017.0,16478195.0,1775705.0,1661068.0
1058100224,2017.0,16478195.0,1775705.0,1661068.0
3018100225,2020.0,1002210.0,165894.0,133573.0
3018100225,2019.0,1504698.0,299651.0,271263.0
3178100226,2019.0,600895.0,-16949.0,-14433.0
3178100226,2018.0,606751.0,12185.0,26754.0
1058700228,2016.0,7670421.0,340829.0,303679.0
1058700228,2017.0,6292980.0,352344.0,95242.0
1058700228,2018.0,11916000.0,120000.0,125000.0
1058700228,2019.0,13472651.0,-3421760.0,-4284023.0
2298100229,2016.0,1974000.0,163000.0,91000.0
